spend[시간/돈] -ing, ~[시간/돈]을 쓰다.
have trouble -ing, ~하는데 어려움을 겪다.
difficulty -ing, ~하는데 어려움을 겪다.
be busy -ing, ~하느라 바쁘다.
by -ing, ~함으로써
on -ing, ~하자마자.
upon -ing, ~하자마자.
play a role in -ing, ~하는 데 역할을 하다.
in addition to -ing, ~뿐만 아니라.
contribute to -ing, ~에 기여하다.
look forward to -ing, ~을 기대하다.
be opposed to -ing, ~에 반대하다.
be committed to -ing, ~에 헌신하다.
be subject to -ing, ~되기 쉽다.
