rely on, ~에 의존하다.
depend on, ~에 의존하다.
consist of, ~로 구성되다.
comply with, ~을 준수하다.
participate in, ~에 참가하다.
agree with, ~에 동의하다.
agree on, ~에 동의하다.
specialize in, ~을 전문으로 하다.
adhere to, ~을 들러붙다.
respond to, ~에 응답하다.
react to, ~에 반응하다.
collaborate with, ~와 협력하다.
collaborate on, ~에 협력하다.
deal with, ~을 다루다.
refer to, ~을 참고하다 or 언급하다.
appeal to, ~에 호소하다.

