be engaged in, ~에 종사하다.
be committed to, ~에 전념하다.
be dedicated to, ~에 전념하다.
be devoted to, ~에 전념하다.
be satisfied with, ~에 만족하다.
be pleased with, ~에 기뻐하다.
be interested in, ~에 관심이 있다.
be accustomed to, ~에 익숙하다.
be used to, ~에 익숙하다.
be concerned with, ~에 관련되다.
be associated with, ~와 관련되다.
be involved in, ~에 관련되다.
be exposed to, ~에 노출되다.
be related to, ~와 관계가 있다.
be equipped with, ~을 갖추고 있다.
be crowded with, ~로 붐비다.


