livelihood, 살림
excess, 초과
discard bin, 쓰레기통
ahead of time, 사전에
law office, 법률 사무소
public holiday, 공휴일
office supplies, 사무용품
submission, 제출
manufacturer, 제조업자
earnings, 수익
vendor, 판매업체
footwear, 신발(류)
community member, 지역주민
fellow, 동료
on behalf of, ~을 대신해서
coucil, 의회
distributor, 배급업체 or 공급업체
distribution, 유통 or 배급
allocation, 할당
overcome, 극복
coworker, 동료
measurement, 치수 측량
mark-up, 가격 인상

